movieId,title,genres,year,imdbId
1,Toy Story  ,Adventure|Animation|Children|Comedy|Fantasy,1995,114709
2,Jumanji  ,Adventure|Children|Fantasy,1995,113497
3,Grumpier Old Men  ,Comedy|Romance,1995,113228
4,Waiting to Exhale  ,Comedy|Drama|Romance,1995,114885
5,Father of the Bride Part II  ,Comedy,1995,113041
6,Heat  ,Action|Crime|Thriller,1995,113277
7,Sabrina  ,Comedy|Romance,1995,114319
8,Tom and Huck  ,Adventure|Children,1995,112302
9,Sudden Death  ,Action,1995,114576
10,GoldenEye  ,Action|Adventure|Thriller,1995,113189
11,"American President, The  ",Comedy|Drama|Romance,1995,112346
12,Dracula: Dead and Loving It  ,Comedy|Horror,1995,112896
13,Balto  ,Adventure|Animation|Children,1995,112453
14,Nixon  ,Drama,1995,113987
15,Cutthroat Island  ,Action|Adventure|Romance,1995,112760
16,Casino  ,Crime|Drama,1995,112641
17,Sense and Sensibility  ,Drama|Romance,1995,114388
18,Four Rooms  ,Comedy,1995,113101
19,Ace Ventura: When Nature Calls  ,Comedy,1995,112281
20,Money Train  ,Action|Comedy|Crime|Drama|Thriller,1995,113845
21,Get Shorty  ,Comedy|Crime|Thriller,1995,113161
22,Copycat  ,Crime|Drama|Horror|Mystery|Thriller,1995,112722
23,Assassins  ,Action|Crime|Thriller,1995,112401
24,Powder  ,Drama|Sci-Fi,1995,114168
25,Leaving Las Vegas  ,Drama|Romance,1995,113627
26,Othello  ,Drama,1995,114057
27,Now and Then  ,Children|Drama,1995,114011
28,Persuasion  ,Drama|Romance,1995,114117
29,"City of Lost Children, The    ",Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995,112682
30,Shanghai Triad    ,Crime|Drama,1995,115012
31,Dangerous Minds  ,Drama,1995,112792
32,Twelve Monkeys    ,Mystery|Sci-Fi|Thriller,1995,114746
34,Babe  ,Children|Drama,1995,112431
36,Dead Man Walking  ,Crime|Drama,1995,112818
38,It Takes Two  ,Children|Comedy,1995,113442
39,Clueless  ,Comedy|Romance,1995,112697
40,"Cry, the Beloved Country  ",Drama,1995,112749
41,Richard III  ,Drama|War,1995,114279
42,Dead Presidents  ,Action|Crime|Drama,1995,112819
43,Restoration  ,Drama,1995,114272
44,Mortal Kombat  ,Action|Adventure|Fantasy,1995,113855
45,To Die For  ,Comedy|Drama|Thriller,1995,114681
46,How to Make an American Quilt  ,Drama|Romance,1995,113347
47,Seven    ,Mystery|Thriller,1995,114369
48,Pocahontas  ,Animation|Children|Drama|Musical|Romance,1995,114148
49,When Night Is Falling  ,Drama|Romance,1995,114916
50,"Usual Suspects, The  ",Crime|Mystery|Thriller,1995,114814
52,Mighty Aphrodite  ,Comedy|Drama|Romance,1995,113819
53,Lamerica  ,Adventure|Drama,1994,110299
54,"Big Green, The  ",Children|Comedy,1995,112499
55,Georgia  ,Drama,1995,113158
57,Home for the Holidays  ,Drama,1995,113321
58,"Postman, The    ",Comedy|Drama|Romance,1994,110877
60,"Indian in the Cupboard, The  ",Adventure|Children|Fantasy,1995,113419
61,Eye for an Eye  ,Drama|Thriller,1996,116260
62,Mr. Holland's Opus  ,Drama,1995,113862
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood  ,Comedy|Crime,1996,116126
64,Two if by Sea  ,Comedy|Romance,1996,118002
65,Bio-Dome  ,Comedy,1996,115683
66,Lawnmower Man 2: Beyond Cyberspace  ,Action|Sci-Fi|Thriller,1996,116839
68,French Twist    ,Comedy|Romance,1995,113149
69,Friday  ,Comedy,1995,113118
70,From Dusk Till Dawn  ,Action|Comedy|Horror|Thriller,1996,116367
71,Fair Game  ,Action,1995,113010
72,Kicking and Screaming  ,Comedy|Drama,1995,113537
73,Misï¿½ï¿½ï¿½ï¿½ï¿½,Drama|War,1995,113828
74,Bed of Roses  ,Drama|Romance,1996,115644
75,Big Bully  ,Comedy|Drama,1996,115676
76,Screamers  ,Action|Sci-Fi|Thriller,1995,114367
77,Nico Icon  ,Documentary,1995,113973
78,"Crossing Guard, The  ",Action|Crime|Drama|Thriller,1995,112744
79,"Juror, The  ",Drama|Thriller,1996,116731
80,"White Balloon, The    ",Children|Drama,1995,112445
81,Things to Do in Denver When You're Dead  ,Crime|Drama|Romance,1995,114660
