movieId,title,genres,year,imdb_id
1,"Toy Story  ",Adventure|Animation|Children|Comedy|Fantasy,1995,"0114709"
2,"Jumanji  ",Adventure|Children|Fantasy,1995,0113497
3,"Grumpier Old Men  ",Comedy|Romance,1995,0113228
4,"Waiting to Exhale  ",Comedy|Drama|Romance,1995,0114885
5,"Father of the Bride Part II  ",Comedy,1995,0113041
6,"Heat  ",Action|Crime|Thriller,1995,0113277
7,"Sabrina  ",Comedy|Romance,1995,0114319
8,"Tom and Huck  ",Adventure|Children,1995,0112302
9,"Sudden Death  ",Action,1995,0114576
10,"GoldenEye  ",Action|Adventure|Thriller,1995,0113189
11,"American President, The  ",Comedy|Drama|Romance,1995,0112346
12,"Dracula: Dead and Loving It  ",Comedy|Horror,1995,0112896
13,"Balto  ",Adventure|Animation|Children,1995,0112453
14,"Nixon  ",Drama,1995,0113987
15,"Cutthroat Island  ",Action|Adventure|Romance,1995,0112760
16,"Casino  ",Crime|Drama,1995,0112641
17,"Sense and Sensibility  ",Drama|Romance,1995,0114388
18,"Four Rooms  ",Comedy,1995,0113101
19,"Ace Ventura: When Nature Calls  ",Comedy,1995,0112281
20,"Money Train  ",Action|Comedy|Crime|Drama|Thriller,1995,0113845
21,"Get Shorty  ",Comedy|Crime|Thriller,1995,0113161
22,"Copycat  ",Crime|Drama|Horror|Mystery|Thriller,1995,0112722
23,"Assassins  ",Action|Crime|Thriller,1995,0112401
24,"Powder  ",Drama|Sci-Fi,1995,0114168
25,"Leaving Las Vegas  ",Drama|Romance,1995,0113627
26,"Othello  ",Drama,1995,0114057
27,"Now and Then  ",Children|Drama,1995,0114011
28,"Persuasion  ",Drama|Romance,1995,0114117
29,"City of Lost Children, The    ",Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995,0112682
30,"Shanghai Triad    ",Crime|Drama,1995,0115012
31,"Dangerous Minds  ",Drama,1995,0112792
32,"Twelve Monkeys    ",Mystery|Sci-Fi|Thriller,1995,0114746
34,"Babe  ",Children|Drama,1995,0112431
36,"Dead Man Walking  ",Crime|Drama,1995,0112818
38,"It Takes Two  ",Children|Comedy,1995,0113442
39,"Clueless  ",Comedy|Romance,1995,0112697
40,"Cry, the Beloved Country  ",Drama,1995,0112749
41,"Richard III  ",Drama|War,1995,0114279
42,"Dead Presidents  ",Action|Crime|Drama,1995,0112819
43,"Restoration  ",Drama,1995,0114272
44,"Mortal Kombat  ",Action|Adventure|Fantasy,1995,0113855
45,"To Die For  ",Comedy|Drama|Thriller,1995,0114681
46,"How to Make an American Quilt  ",Drama|Romance,1995,0113347
47,"Seven    ",Mystery|Thriller,1995,0114369
48,"Pocahontas  ",Animation|Children|Drama|Musical|Romance,1995,0114148
49,"When Night Is Falling  ",Drama|Romance,1995,0114916
50,"Usual Suspects, The  ",Crime|Mystery|Thriller,1995,0114814
52,"Mighty Aphrodite  ",Comedy|Drama|Romance,1995,0113819
53,"Lamerica  ",Adventure|Drama,1994,0110299
54,"Big Green, The  ",Children|Comedy,1995,0112499
55,"Georgia  ",Drama,1995,0113158
57,"Home for the Holidays  ",Drama,1995,0113321
58,"Postman, The    ",Comedy|Drama|Romance,1994,0110877
60,"Indian in the Cupboard, The  ",Adventure|Children|Fantasy,1995,0113419
61,"Eye for an Eye  ",Drama|Thriller,1996,0116260
62,"Mr. Holland's Opus  ",Drama,1995,0113862
63,"Don't Be a Menace to South Central While Drinking Your Juice in the Hood  ",Comedy|Crime,1996,0116126
64,"Two if by Sea  ",Comedy|Romance,1996,0118002
65,"Bio-Dome  ",Comedy,1996,0115683
66,"Lawnmower Man 2: Beyond Cyberspace  ",Action|Sci-Fi|Thriller,1996,0116839
68,"French Twist    ",Comedy|Romance,1995,0113149
69,"Friday  ",Comedy,1995,0113118
70,"From Dusk Till Dawn  ",Action|Comedy|Horror|Thriller,1996,0116367
71,"Fair Game  ",Action,1995,0113010
72,"Kicking and Screaming  ",Comedy|Drama,1995,0113537
73,Mis�����,Drama|War,1995,0113828
74,"Bed of Roses  ",Drama|Romance,1996,0115644
75,"Big Bully  ",Comedy|Drama,1996,0115676
76,"Screamers  ",Action|Sci-Fi|Thriller,1995,0114367
77,"Nico Icon  ",Documentary,1995,0113973
78,"Crossing Guard, The  ",Action|Crime|Drama|Thriller,1995,0112744
79,"Juror, The  ",Drama|Thriller,1996,0116731
80,"White Balloon, The    ",Children|Drama,1995,0112445
81,"Things to Do in Denver When You're Dead  ",Crime|Drama|Romance,1995,0114660
82,"Antonia's Line    ",Comedy|Drama,1995,0112379
83,"Once Upon a Time... When We Were Colored  ",Drama|Romance,1995,0114039
85,"Angels and Insects  ",Drama|Romance,1995,0112365
86,"White Squall  ",Action|Adventure|Drama,1996,0118158
87,"Dunston Checks In  ",Children|Comedy,1996,0116151
88,"Black Sheep  ",Comedy,1996,0115697
89,"Nick of Time  ",Action|Thriller,1995,0113972
92,"Mary Reilly  ",Drama|Horror|Thriller,1996,0117002
93,"Vampire in Brooklyn  ",Comedy|Horror|Romance,1995,0114825
94,"Beautiful Girls  ",Comedy|Drama|Romance,1996,0115639
95,"Broken Arrow  ",Action|Adventure|Thriller,1996,0115759
96,"In the Bleak Midwinter  ",Comedy|Drama,1995,0113403
97,"Hate    ",Crime|Drama,1995,0113247
99,"Heidi Fleiss: Hollywood Madam  ",Documentary,1995,0113283
100,"City Hall  ",Drama|Thriller,1996,0115907
101,"Bottle Rocket  ",Adventure|Comedy|Crime|Romance,1996,0115734
102,"Mr. Wrong  ",Comedy,1996,0117102
103,"Unforgettable  ",Mystery|Sci-Fi|Thriller,1996,0118040
104,"Happy Gilmore  ",Comedy,1996,0116483
105,"Bridges of Madison County, The  ",Drama|Romance,1995,0112579
106,"Nobody Loves Me    ",Comedy|Drama,1994,0110251
107,"Muppet Treasure Island  ",Adventure|Children|Comedy|Musical,1996,0117110
108,"Catwalk  ",Documentary,1996,0112646
110,"Braveheart  ",Action|Drama|War,1995,0112573
111,"Taxi Driver  ",Crime|Drama|Thriller,1976,0075314
112,"Rumble in the Bronx    ",Action|Adventure|Comedy|Crime,1995,0113326
113,"Before and After  ",Drama|Mystery,1996,0115645
116,"Anne Frank Remembered  ",Documentary,1995,0112373
117,"Young Poisoner's Handbook, The  ",Crime|Drama,1995,0115033
118,"If Lucy Fell  ",Comedy|Romance,1996,0116606
119,"Steal Big, Steal Little  ",Comedy,1995,0114536
121,"Boys of St. Vincent, The  ",Drama,1992,0106473
122,"Boomerang  ",Comedy|Romance,1992,0103859
123,"Chungking Express    ",Drama|Mystery|Romance,1994,0109424
125,"Flirting With Disaster  ",Comedy,1996,0116324
126,"NeverEnding Story III, The  ",Adventure|Children|Fantasy,1994,0110647
128,"Jupiter's Wife  ",Documentary,1994,0110217
129,"Pie in the Sky  ",Comedy|Romance,1996,0114131
132,"Jade  ",Thriller,1995,0113451
135,"Down Periscope  ",Comedy,1996,0116130
137,"Man of the Year  ",Documentary,1995,0113756
140,"Up Close and Personal  ",Drama|Romance,1996,0118055
141,"Birdcage, The  ",Comedy,1996,0115685
144,"Brothers McMullen, The  ",Comedy,1995,0112585
145,"Bad Boys  ",Action|Comedy|Crime|Drama|Thriller,1995,0112442
146,"Amazing Panda Adventure, The  ",Adventure|Children,1995,0112342
147,"Basketball Diaries, The  ",Drama,1995,0112461
148,"Awfully Big Adventure, An  ",Drama,1995,0112427
149,"Amateur  ",Crime|Drama|Thriller,1994,0109093
150,"Apollo 13  ",Adventure|Drama|IMAX,1995,0112384
151,"Rob Roy  ",Action|Drama|Romance|War,1995,0114287
152,"Addiction, The  ",Drama|Horror,1995,0112288
153,"Batman Forever  ",Action|Adventure|Comedy|Crime,1995,0112462
154,"Beauty of the Day    ",Drama,1967,0061395
155,"Beyond Rangoon  ",Adventure|Drama|War,1995,0112495
156,"Blue in the Face  ",Comedy|Drama,1995,0112541
157,"Canadian Bacon  ",Comedy|War,1995,0109370
158,"Casper  ",Adventure|Children,1995,0112642
159,"Clockers  ",Crime|Drama|Mystery,1995,0112688
160,"Congo  ",Action|Adventure|Mystery|Sci-Fi,1995,0112715
161,"Crimson Tide  ",Drama|Thriller|War,1995,0112740
162,"Crumb  ",Documentary,1994,0109508
163,"Desperado  ",Action|Romance|Western,1995,0112851
164,"Devil in a Blue Dress  ",Crime|Film-Noir|Mystery|Thriller,1995,0112857
165,"Die Hard: With a Vengeance  ",Action|Crime|Thriller,1995,0112864
166,"Doom Generation, The  ",Comedy|Crime|Drama,1995,0112887
168,"First Knight  ",Action|Drama|Romance,1995,0113071
169,"Free Willy 2: The Adventure Home  ",Adventure|Children|Drama,1995,0113114
170,"Hackers  ",Action|Adventure|Crime|Thriller,1995,0113243
171,"Jeffrey  ",Comedy|Drama,1995,0113464
172,"Johnny Mnemonic  ",Action|Sci-Fi|Thriller,1995,0113481
173,"Judge Dredd  ",Action|Crime|Sci-Fi,1995,0113492
174,"Jury Duty  ",Comedy,1995,0113500
175,"Kids  ",Drama,1995,0113540
176,"Living in Oblivion  ",Comedy,1995,0113677
177,"Lord of Illusions  ",Horror,1995,0113690
178,"Love & Human Remains  ",Comedy|Drama,1993,0107447
179,"Mad Love  ",Drama|Romance,1995,0113729
180,"Mallrats  ",Comedy|Romance,1995,0113749
181,"Mighty Morphin Power Rangers: The Movie  ",Action|Children,1995,0113820
183,"Mute Witness  ",Comedy|Horror|Thriller,1994,0110604
184,"Nadja  ",Drama,1994,0110620
185,"Net, The  ",Action|Crime|Thriller,1995,0113957
186,"Nine Months  ",Comedy|Romance,1995,0113986
187,"Party Girl  ",Comedy,1995,0114095
188,"Prophecy, The  ",Fantasy|Horror|Mystery,1995,0114194
189,"Reckless  ",Comedy|Fantasy,1995,0114241
190,"Safe  ",Thriller,1995,0114323
191,"Scarlet Letter, The  ",Drama|Romance,1995,0114345
193,"Showgirls  ",Drama,1995,0114436
194,"Smoke  ",Comedy|Drama,1995,0114478
195,"Something to Talk About  ",Comedy|Drama|Romance,1995,0114496
196,"Species  ",Horror|Sci-Fi,1995,0114508
198,"Strange Days  ",Action|Crime|Drama|Mystery|Sci-Fi|Thriller,1995,0114558
199,"Umbrellas of Cherbourg, The    ",Drama|Musical|Romance,1964,0058450
201,"Three Wishes  ",Drama|Fantasy,1995,0114663
202,"Total Eclipse  ",Drama|Romance,1995,0114702
203,"To Wong Foo, Thanks for Everything! Julie Newmar  ",Comedy,1995,0114682
204,"Under Siege 2: Dark Territory  ",Action,1995,0114781
205,"Unstrung Heroes  ",Comedy|Drama,1995,0114798
206,"Unzipped  ",Documentary,1995,0114805
207,"Walk in the Clouds, A  ",Drama|Romance,1995,0114887
208,"Waterworld  ",Action|Adventure|Sci-Fi,1995,0114898
209,"White Man's Burden  ",Drama,1995,0114928
210,"Wild Bill  ",Western,1995,0114938
211,"Browning Version, The  ",Drama,1994,0109340
212,"Bushwhacked  ",Adventure|Comedy|Crime|Mystery,1995,0112602
213,"Burnt by the Sun    ",Drama,1994,0111579
214,"Before the Rain    ",Drama|War,1994,0110882
215,"Before Sunrise  ",Drama|Romance,1995,0112471
216,"Billy Madison  ",Comedy,1995,0112508
217,"Babysitter, The  ",Drama|Thriller,1995,0112438
218,"Boys on the Side  ",Comedy|Drama,1995,0112571
219,"Cure, The  ",Drama,1995,0112757
220,"Castle Freak  ",Horror,1995,0112643
222,"Circle of Friends  ",Drama|Romance,1995,0112679
223,"Clerks  ",Comedy,1994,0109445
224,"Don Juan DeMarco  ",Comedy|Drama|Romance,1995,0112883
225,"Disclosure  ",Drama|Thriller,1994,0109635
227,"Drop Zone  ",Action|Thriller,1994,0109676
228,"Destiny Turns on the Radio  ",Comedy,1995,0112854
229,"Death and the Maiden  ",Drama|Thriller,1994,0109579
230,"Dolores Claiborne  ",Drama|Thriller,1995,0109642
231,"Dumb & Dumber    ",Adventure|Comedy,1994,0109686
232,"Eat Drink Man Woman    ",Comedy|Drama|Romance,1994,0111797
233,"Exotica  ",Drama,1994,0109759
234,"Exit to Eden  ",Comedy,1994,0109758
235,"Ed Wood  ",Comedy|Drama,1994,0109707
236,"French Kiss  ",Action|Comedy|Romance,1995,0113117
237,"Forget Paris  ",Comedy|Romance,1995,0113097
238,"Far From Home: The Adventures of Yellow Dog  ",Adventure|Children,1995,0113028
239,"Goofy Movie, A  ",Animation|Children|Comedy|Romance,1995,0113198
240,"Hideaway  ",Thriller,1995,0113303
241,"Fluke  ",Children|Drama,1995,0113089
242,"Farinelli: il castrato  ",Drama|Musical,1994,0109771
243,"Gordy  ",Children|Comedy|Fantasy,1995,0113199
246,"Hoop Dreams  ",Documentary,1994,0110057
247,"Heavenly Creatures  ",Crime|Drama,1994,0110005
248,"Houseguest  ",Comedy,1994,0110066
249,"Immortal Beloved  ",Drama|Romance,1994,0110116
250,"Heavyweights    ",Children|Comedy,1995,0110006
251,"Hunted, The  ",Action,1995,0113360
252,"I.Q.  ",Comedy|Romance,1994,0110099
253,"Interview with the Vampire: The Vampire Chronicles  ",Drama|Horror,1994,0110148
254,"Jefferson in Paris  ",Drama,1995,0113463
255,"Jerky Boys, The  ",Comedy,1995,0110189
256,"Junior  ",Comedy|Sci-Fi,1994,0110216
257,"Just Cause  ",Mystery|Thriller,1995,0113501
258,"Kid in King Arthur's Court, A  ",Adventure|Children|Comedy|Fantasy|Romance,1995,0113538
259,"Kiss of Death  ",Crime|Drama|Thriller,1995,0113552
260,"Star Wars: Episode IV - A New Hope  ",Action|Adventure|Sci-Fi,1977,0076759
261,"Little Women  ",Drama,1994,0110367
262,"Little Princess, A  ",Children|Drama,1995,0113670
263,"Ladybird Ladybird  ",Drama,1994,0110296
265,"Like Water for Chocolate    ",Drama|Fantasy|Romance,1992,0103994
266,"Legends of the Fall  ",Drama|Romance|War|Western,1994,0110322
267,"Major Payne  ",Comedy,1995,0110443
269,"My Crazy Life    ",Drama,1993,0107566
270,"Love Affair  ",Drama|Romance,1994,0110391
271,"Losing Isaiah  ",Drama,1995,0113691
272,"Madness of King George, The  ",Comedy|Drama,1994,0110428
273,"Mary Shelley's Frankenstein    ",Drama|Horror|Sci-Fi,1994,0109836
274,"Man of the House  ",Comedy,1995,0113755
275,"Mixed Nuts  ",Comedy,1994,0110538
276,"Milk Money  ",Comedy|Romance,1994,0110516
277,"Miracle on 34th Street  ",Drama,1994,0110527
278,"Miami Rhapsody  ",Comedy,1995,0113808
279,"My Family  ",Drama,1995,0113896
280,"Murder in the First  ",Drama|Thriller,1995,0113870
281,"Nobody's Fool  ",Comedy|Drama|Romance,1994,0110684
282,"Nell  ",Drama,1994,0110638
283,"New Jersey Drive  ",Crime|Drama,1995,0113967
284,"New York Cop    ",Action|Crime,1993,0117169
285,"Beyond Bedlam  ",Drama|Horror,1993,0106402
287,"Nina Takes a Lover  ",Comedy|Romance,1994,0110671
288,"Natural Born Killers  ",Action|Crime|Thriller,1994,0110632
289,"Only You  ",Comedy|Romance,1994,0110737
290,"Once Were Warriors  ",Crime|Drama,1994,0110729
291,"Poison Ivy II  ",Drama|Thriller,1996,0114151
292,"Outbreak  ",Action|Drama|Sci-Fi|Thriller,1995,0114069
293,L����������,Action|Crime|Drama|Thriller,1994,0110413
294,"Perez Family, The  ",Comedy|Romance,1995,0114113
295,"Pyromaniac's Love Story, A  ",Comedy|Romance,1995,0114210
296,"Pulp Fiction  ",Comedy|Crime|Drama|Thriller,1994,0110912
298,"Pushing Hands    ",Drama,1992,0105652
299,"Priest  ",Drama,1994,0110889
300,"Quiz Show  ",Drama,1994,0110932
301,"Picture Bride    ",Drama|Romance,1994,0114129
302,"Queen Margot    ",Drama|Romance,1994,0110963
303,"Quick and the Dead, The  ",Action|Thriller|Western,1995,0114214
304,"Roommates  ",Comedy|Drama,1995,0114296
305,"Ready to Wear    ",Comedy,1994,0110907
306,"Three Colors: Red    ",Drama,1994,0111495
307,"Three Colors: Blue    ",Drama,1993,0108394
308,"Three Colors: White    ",Comedy|Drama,1994,0111507
310,"Rent-a-Kid  ",Comedy,1995,0114268
311,"Relative Fear  ",Horror|Thriller,1994,0110965
312,"Stuart Saves His Family  ",Comedy,1995,0114571
313,"Swan Princess, The  ",Animation|Children,1994,0111333
314,"Secret of Roan Inish, The  ",Children|Drama|Fantasy|Mystery,1994,0111112
315,"Specialist, The  ",Action|Drama|Thriller,1994,0111255
316,"Stargate  ",Action|Adventure|Sci-Fi,1994,0111282
317,"Santa Clause, The  ",Comedy|Drama|Fantasy,1994,0111070
318,"Shawshank Redemption, The  ",Crime|Drama,1994,0111161
319,"Shallow Grave  ",Comedy|Drama|Thriller,1994,0111149
320,"Suture  ",Film-Noir|Thriller,1993,0108260
321,"Strawberry and Chocolate    ",Drama,1993,0106966
322,"Swimming with Sharks  ",Comedy|Drama,1995,0114594
324,"Sum of Us, The  ",Comedy|Drama,1994,0111309
325,"National Lampoon's Senior Trip  ",Comedy,1995,0113936
326,"To Live    ",Drama,1994,0110081
327,"Tank Girl  ",Action|Comedy|Sci-Fi,1995,0114614
328,"Tales from the Crypt Presents: Demon Knight  ",Horror|Thriller,1995,0114608
329,"Star Trek: Generations  ",Adventure|Drama|Sci-Fi,1994,0111280
330,"Tales from the Hood  ",Action|Crime|Horror,1995,0114609
331,"Tom & Viv  ",Drama,1994,0111454
332,"Village of the Damned  ",Horror|Sci-Fi,1995,0114852
333,"Tommy Boy  ",Comedy,1995,0114694
334,"Vanya on 42nd Street  ",Drama,1994,0111590
335,"Underneath  ",Mystery|Thriller,1995,0114788
336,"Walking Dead, The  ",Drama|War,1995,0114888
337,"What's Eating Gilbert Grape  ",Drama,1993,0108550
338,"Virtuosity  ",Action|Sci-Fi|Thriller,1995,0114857
339,"While You Were Sleeping  ",Comedy|Romance,1995,0114924
340,"War, The  ",Adventure|Drama|War,1994,0111667
341,"Double Happiness  ",Drama,1994,0109655
342,"Muriel's Wedding  ",Comedy,1994,0110598
343,"Baby-Sitters Club, The  ",Children,1995,0112435
344,"Ace Ventura: Pet Detective  ",Comedy,1994,0109040
345,"Adventures of Priscilla, Queen of the Desert, The  ",Comedy|Drama,1994,0109045
346,"Backbeat  ",Drama|Musical,1993,0106339
347,"Bitter Moon  ",Drama|Film-Noir|Romance,1992,0104779
348,"Bullets Over Broadway  ",Comedy,1994,0109348
349,"Clear and Present Danger  ",Action|Crime|Drama|Thriller,1994,0109444
350,"Client, The  ",Drama|Mystery|Thriller,1994,0109446
351,"Corrina, Corrina  ",Comedy|Drama|Romance,1994,0109484
352,"Crooklyn  ",Comedy|Drama,1994,0109504
353,"Crow, The  ",Action|Crime|Fantasy|Thriller,1994,0109506
354,"Cobb  ",Drama,1994,0109450
355,"Flintstones, The  ",Children|Comedy|Fantasy,1994,0109813
356,"Forrest Gump  ",Comedy|Drama|Romance|War,1994,0109830
357,"Four Weddings and a Funeral  ",Comedy|Romance,1994,0109831
358,"Higher Learning  ",Drama,1995,0113305
359,"I Like It Like That  ",Comedy|Drama|Romance,1994,0110091
360,"I Love Trouble  ",Action|Comedy,1994,0110093
361,"It Could Happen to You  ",Comedy|Drama|Romance,1994,0110167
362,"Jungle Book, The  ",Adventure|Children|Romance,1994,0110213
363,"Wonderful, Horrible Life of Leni Riefenstahl, The    ",Documentary,1993,0107472
364,"Lion King, The  ",Adventure|Animation|Children|Drama|Musical|IMAX,1994,0110357
365,"Little Buddha  ",Drama,1993,0107426
366,"Wes Craven's New Nightmare    ",Drama|Horror|Mystery|Thriller,1994,0111686
367,"Mask, The  ",Action|Comedy|Crime|Fantasy,1994,0110475
368,"Maverick  ",Adventure|Comedy|Western,1994,0110478
369,"Mrs. Parker and the Vicious Circle  ",Drama,1994,0110588
370,"Naked Gun 33 1/3: The Final Insult  ",Action|Comedy,1994,0110622
371,"Paper, The  ",Comedy|Drama,1994,0110771
372,"Reality Bites  ",Comedy|Drama|Romance,1994,0110950
373,"Red Rock West  ",Thriller,1992,0105226
